◇ injected env (9) from .env // tip: ⌘ custom filepath { path: '/custom/path/.env' }
◇ injected env (0) from .env // tip: ◈ encrypted .env [www.dotenvx.com]
Connecting DB: {
  server: 'TUNGLAI',
  instance: null,
  port: null,
  database: 'ToeicVocabularyPlatform',
  auth: 'windows'
}
Attempting to start server...
Server successfully started on port 3001
DB Connected
[2026-06-21T16:48:57.960Z] GET /api/health
[2026-06-21T16:49:42.263Z] GET /api/user/notifications?limit=1
[2026-06-21T16:49:42.330Z] GET /api/user/notifications?limit=1
[2026-06-21T16:49:42.353Z] GET /api/user/notifications?limit=1
[2026-06-21T16:49:42.392Z] GET /api/user/notifications?limit=1
[2026-06-21T16:49:42.411Z] GET /api/user/flashcards?mode=new
[2026-06-21T16:49:42.420Z] GET /api/user/stats
[2026-06-21T16:49:42.498Z] GET /api/user/activity/heatmap?year=2026
[2026-06-21T16:49:42.505Z] GET /api/user/goals/daily-progress
[2026-06-21T16:49:42.517Z] GET /api/user/goals/daily-goal
[2026-06-21T16:49:42.524Z] GET /api/user/review/session-summary
[2026-06-21T16:49:42.557Z] GET /api/user/review/smart-queue?limit=50
[2026-06-21T16:49:42.564Z] GET /api/user/minitests?page=1&pageSize=1
[2026-06-21T16:49:42.612Z] GET /api/user/learning-path
[2026-06-21T16:49:48.056Z] GET /api/user/notifications?limit=1
[2026-06-21T16:49:48.059Z] GET /api/user/notifications?limit=1
[2026-06-21T16:49:48.060Z] GET /api/user/notifications?limit=1
[2026-06-21T16:49:48.067Z] GET /api/user/notifications?limit=1
[2026-06-21T16:49:48.078Z] GET /api/user/learning-path
[2026-06-21T16:49:52.963Z] GET /api/user/notifications?limit=1
[2026-06-21T16:49:52.968Z] GET /api/user/notifications?limit=1
[2026-06-21T16:49:52.970Z] GET /api/user/notifications?limit=1
[2026-06-21T16:49:52.978Z] GET /api/user/notifications?limit=1
[2026-06-21T16:49:52.989Z] GET /api/user/learning-path
[2026-06-21T16:50:03.065Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:03.070Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:03.073Z] GET /api/user/minitests?page=1&pageSize=12
[2026-06-21T16:50:03.077Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:03.079Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:03.090Z] GET /api/user/minitests?page=1&pageSize=12
[2026-06-21T16:50:08.289Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:08.301Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:08.308Z] GET /api/user/notebook?page=1&pageSize=20
[2026-06-21T16:50:08.316Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:08.335Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:08.345Z] GET /api/user/notebook?page=1&pageSize=20
[2026-06-21T16:50:12.443Z] GET /api/user/gamification/profile
[2026-06-21T16:50:12.686Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:12.689Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:12.698Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:12.700Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:17.553Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:17.556Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:17.557Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:17.564Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:17.567Z] GET /api/user/progress/analytics
[2026-06-21T16:50:22.788Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:22.793Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:22.796Z] GET /api/user/goals/daily-goal
[2026-06-21T16:50:22.808Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:22.815Z] GET /api/user/notifications?limit=1
[2026-06-21T16:50:22.818Z] GET /api/user/goals/daily-goal
[2026-06-21T16:50:28.969Z] GET /api/creator/dashboard
[2026-06-21T16:50:28.975Z] GET /api/creator/dashboard
[2026-06-21T16:50:28.981Z] GET /api/creator/content-summary
[2026-06-21T16:50:28.986Z] GET /api/creator/content-summary
[2026-06-21T16:50:34.974Z] GET /api/creator/topics
[2026-06-21T16:50:34.980Z] GET /api/creator/topics
[2026-06-21T16:50:34.983Z] GET /api/creator/topic-categories
[2026-06-21T16:50:34.989Z] GET /api/creator/topic-categories
[2026-06-21T16:50:39.564Z] GET /api/creator/words
[2026-06-21T16:50:39.571Z] GET /api/creator/words
[2026-06-21T16:50:43.982Z] GET /api/creator/questions
[2026-06-21T16:50:43.989Z] GET /api/creator/questions
[2026-06-21T16:50:48.490Z] GET /api/creator/mini-tests
[2026-06-21T16:50:48.495Z] GET /api/creator/mini-tests
[2026-06-21T16:50:57.576Z] GET /api/creator/topics?status=Draft
[2026-06-21T16:50:57.579Z] GET /api/creator/words?status=Draft
[2026-06-21T16:50:57.584Z] GET /api/creator/questions?status=Draft
[2026-06-21T16:50:57.588Z] GET /api/creator/mini-tests?status=Draft
[2026-06-21T16:50:57.595Z] GET /api/creator/topics?status=Draft
[2026-06-21T16:50:57.614Z] GET /api/creator/words?status=Draft
[2026-06-21T16:50:57.646Z] GET /api/creator/questions?status=Draft
[2026-06-21T16:50:57.650Z] GET /api/creator/mini-tests?status=Draft
[2026-06-21T16:51:02.084Z] GET /api/creator/topics?status=PendingReview
[2026-06-21T16:51:02.088Z] GET /api/creator/words?status=PendingReview
[2026-06-21T16:51:02.093Z] GET /api/creator/questions?status=PendingReview
